"Priority","Category","Score","Family","OriginalPath","CopiedPath","Evidence"
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\5a46a49877f7__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\c5b20d9e1c8b__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\8cb3d639949c__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\b9e6eaa38c35__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\b7467bea9fb4__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\bd4605bc7a12__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\e658e8da8f8f__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\compucog\event_system\adapters\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\edb28e13d355__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\event_system\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\f62ec8be1910__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\CompuCog\compucog\event_system\adapters\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\7ddbbc445fcf__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","52","compucog","H:\CompuCog\event_system\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\d24910944ce5__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
"3","Machine/input/network collector","45","misc","F:\New folder\camera_movement_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\3461934eba56__camera_movement_logger.py","camera;camera_movement;keyboard;movement;system | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\dadf93447388__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\e2cd47da85dc__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\1355cf58921a__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\7f43be166e22__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\a8579ff8a134__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\074317fe5b75__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\0c4d5b1353e6__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\2de406b179b2__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"3","Machine/input/network collector","45","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\compucog\event_system\adapters\process_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\5d41d9d0323d__process_logger_adapter.py","mss;network;process;psutil;subprocess;system;wmi | "
"4","Sensitive collector signal","68","reaper","F:\DESKTOP PYTHON 6_17_25\reaper-phase4-complete\reaper-engine\live_packet_capture.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\reaper\5f853eac7829__live_packet_capture.py","packet capture"
"4","Sensitive collector signal","57","clearbox","F:\Desktop 812025\Desktop Files 7_26_25\Embedding Reasoning Trees in Token-Based AI Generation\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\visual_io\core\worker.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\ec2c9bd2f15a__worker.py","mss(;screen capture"
"4","Sensitive collector signal","53","clearbox","E:\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\visual_io\core\worker.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\clearbox\468dc2a03d83__worker.py","mss(;screen capture"
"4","Sensitive collector signal","46","misc","F:\Role-Based Access Control with Encryption and JWT\video_processor.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\801993729953__video_processor.py","cv2.videocapture"
"4","Sensitive collector signal","44","clearbox","F:\Desktop 812025\Desktop Files 7_26_25\Embedding Reasoning Trees in Token-Based AI Generation\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\netlog\core\worker.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\b80139279d84__worker.py","packet capture"
"4","Sensitive collector signal","42","arc_solver","H:\arc_production_solver\cod_616\modules\yolo_detector.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\arc_solver\d76b22e2aaa6__yolo_detector.py","cv2.videocapture"
"4","Sensitive collector signal","40","clearbox","E:\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\netlog\core\worker.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\clearbox\d5670a5e0366__worker.py","packet capture"
"4","Sensitive collector signal","36","arc_solver","H:\arc_production_solver\cod_616\modules\screen_grid_mapper.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\arc_solver\4aab062f0dca__screen_grid_mapper.py","mss(;screen capture;screenshot"
"4","Sensitive collector signal","35","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\core\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\b7d72bf1e7a4__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","35","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\core\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\b5b86886e98a__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","35","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\core\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\04b95c4b1f41__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","35","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\core\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\76631e511aca__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","35","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\core\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\c507c613f6ac__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","35","compucog","H:\CompuCog\core\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\74147f9615b7__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","32","clearbox","F:\Desktop 812025\Desktop Files 7_26_25\Embedding Reasoning Trees in Token-Based AI Generation\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\visual_io\api\router.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\91534e945786__router.py","screen capture"
"4","Sensitive collector signal","28","clearbox","E:\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\visual_io\api\router.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\f230b46bf295__router.py","screen capture"
"4","Sensitive collector signal","26","wolf_engine","C:\Users\mydyi\OneDrive\Documents\Desktop\clearbox-plugins\wolf_engine\modules\reasoning\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\wolf_engine\244b3ed1ccc2__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","26","wolf_engine","E:\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\plugins\wolf_engine\modules\reasoning\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\wolf_engine\86a68abfb7a6__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","26","wolf_engine","G:\BACKUPS ONLY\clearbox-ai-studio-v2-main backup 1\plugins\wolf_engine\modules\reasoning\frame_to_grid.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\wolf_engine\ad582e9cdab4__frame_to_grid.py","mss(;screen capture"
"4","Sensitive collector signal","22","misc","C:\Users\mydyi\.codex\skills\.system\plugin-creator\scripts\create_basic_plugin.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\50e552190a0b__create_basic_plugin.py","screenshot"
"4","Sensitive collector signal","19","misc","C:\Users\mydyi\.codex\.tmp\plugins\.agents\skills\plugin-creator\scripts\create_basic_plugin.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\496db5243ef3__create_basic_plugin.py","screenshot"
"4","Sensitive collector signal","16","arc_solver","H:\arc_production_solver\cod_616\test_profile.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\arc_solver\27d3756f600c__test_profile.py","screen capture"
"4","Sensitive collector signal","15","clearbox","F:\Desktop 812025\Desktop Files 7_26_25\Embedding Reasoning Trees in Token-Based AI Generation\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\visual_io\__init__.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\0e0c70541b16____init__.py","screen capture"
"4","Sensitive collector signal","11","clearbox","E:\Clearbox-AI-Plugin-Runner-main\Clearbox-AI-Plugin-Runner-main\claude_sandbox\plugins\visual_io\__init__.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\clearbox\13408ea92a38____init__.py","screen capture"
